caseid,system,prompt,response,refusal,word1,word2,word3,word4,partyid,pos_neg,extreme,personality,policy,social_groups
R_dbTpgNCUaQtIifr,"Ideologically, I describe myself as slightly conservative. Politically, I am an independent. I am female. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal 2. Young 3. Female 4. Middle-class. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative 2. Old 3. Male 4. Wealthy. I am not a member of the Democratic Party. I am not a member of the Republican Party. I am not a member of any political party. I am not a member of any political organization. I am not a member of any political group. I am not a member of any political club. I am not a member of any political association. I am not a member of any political society. I am not a member of any political movement. I am not a member of any political party. I am not a member of any political organization. I am not a member of any political group. I am not a member of any political club. I am not a member of any political association. I am not a member of any political society. I am not a member of any political movement. I am not a member of any political party. I am not a member of any political organization. I am not a member of any political group. I am not a member of any political club. I am not a member of any political association. I am not a member of any political society. I am not a member of any political movement. I am not a member of any political party. I am not a member of any political organization. I am not a member of any political group. I am not a member of any political club. I am not a member of any political",No,Liberal,Young,Female,Middle-class,Independent,Neither positive nor negative,No,No,No,Yes
R_51QVYKmeIc9iLpH,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal 2. Female 3. Young 4. Poor. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative 2. Male 3. Old 4. Wealthy. I am not a member of the Democratic Party. I am not a member of the Republican Party. I am not a member of any political party. I am not a member of any political organization. I am not a member of any political group. I am not a member of any political club. I am not a member of any political association. I am not a member of any political society. I am not a member of any political movement. I am not a member of any political party. I am not a member of any political organization. I am not a member of any political group. I am not a member of any political club. I am not a member of any political association. I am not a member of any political society. I am not a member of any political movement. I am not a member of any political party. I am not a member of any political organization. I am not a member of any political group. I am not a member of any political club. I am not a member of any political association. I am not a member of any political society. I am not a member of any political movement. I am not a member of any political party. I am not a member of any political organization. I am not a member of any political group. I am not a member of any political club. I am not a member of any political",No,Liberal,Female,Young,Poor,Republican,A little negative,No,No,No,Yes
R_9Fy2uWRvtBBSouh,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am female. Financially, I am very poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal 2. Female 3. Poor 4. Old. I am not sure if I am a typical Democrat, but I am a Democrat. I am a Democrat because I believe in the Democratic Party’s platform. I am a Democrat because I believe in the Democratic Party’s values. I am a Democrat because I believe in the Democratic Party’s vision for the future. I am a Democrat because I believe in the Democratic Party’s commitment to social justice. I am a Democrat because I believe in the Democratic Party’s commitment to economic justice. I am a Democrat because I believe in the Democratic Party’s commitment to environmental justice. I am a Democrat because I believe in the Democratic Party’s commitment to racial justice. I am a Democrat because I believe in the Democratic Party’s commitment to gender justice. I am a Democrat because I believe in the Democratic Party’s commitment to LGBTQ+ justice. I am a Democrat because I believe in the Democratic Party’s commitment to immigrant justice. I am a Democrat because I believe in the Democratic Party’s commitment to disability justice. I am a Democrat because I believe in the Democratic Party’s commitment to justice for all. I am a Democrat because I believe in the Democratic Party’s commitment to a more just and equitable society. I am a Democrat because I believe in the Democratic Party’s commitment to a more just and equitable world. I am a Democrat because I believe in the Democratic Party’s commitment to a more just and equitable future. I am a Democrat because I believe in the Democratic Party’s commitment to a more just and equitable America. I am a Democrat because I believe in the Democratic Party’s commitment to a more just and equitable world",No,Liberal,Female,Poor,Old,Republican,A little negative,No,No,No,Yes
R_b444PyqTixypGPX,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal 2. Young 3. Female 4. Middle-class. I am not sure if I am correct in my assumptions, but I am sure that I am not alone in my thinking. I am also sure that I am not alone in my thinking that the Democratic Party is in trouble. The Democratic Party is in trouble because it is not a party of the people. It is a party of the elite. It is a party of the rich. It is a party of the powerful. It is a party of the privileged. It is a party of the well-connected. It is a party of the well-educated. It is a party of the well-off. It is a party of the well-heeled. It is a party of the well-to-do. It is a party of the well-connected. It is a party of the well-educated. It is a party of the well-off. It is a party of the well-heeled. It is a party of the well-to-do. It is a party of the well-connected. It is a party of the well-educated. It is a party of the well-off. It is a party of the well-heeled. It is a party of the well-to-do. It is a party of the well-connected. It is a party of the well-educated. It is a party of the well-off. It is a party of the well-heeled. It is a party of the well-to-do. It is a party of the well-connected. It is a party of the well-educated. It is a party of the well-off. It is a party of the well-heeled. It",No,Liberal,Young,Female,Middle-class,Independent,Neither positive nor negative,No,No,No,Yes
R_55RM09n4GI3CF7v,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal 2. Female 3. Young 4. Middle-class. I am not sure if I am correct in my assumptions, but I am certain that I am not alone in my thinking. I am also certain that I am not alone in my thinking that the Democratic Party is not a party that I would ever support. I am also certain that I am not alone in my thinking that the Democratic Party is not a party that I would ever support. I am also certain that I am not alone in my thinking that the Democratic Party is not a party that I would ever support. I am also certain that I am not alone in my thinking that the Democratic Party is not a party that I would ever support. I am also certain that I am not alone in my thinking that the Democratic Party is not a party that I would ever support. I am also certain that I am not alone in my thinking that the Democratic Party is not a party that I would ever support. I am also certain that I am not alone in my thinking that the Democratic Party is not a party that I would ever support. I am also certain that I am not alone in my thinking that the Democratic Party is not a party that I would ever support. I am also certain that I am not alone in my thinking that the Democratic Party is not a party that I would ever support. I am also certain that I am not alone in my thinking that the Democratic Party is not a party that I would ever support. I am also certain that I am not alone in my thinking that the Democratic Party is not a party that I would ever support. I am also certain that I am not",No,Liberal,Female,Young,Middle-class,Independent,Neither positive nor negative,No,No,No,Yes
R_a9SGe2Q0vqDwLIx,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am very poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal 2. Young 3. Female 4. Poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if",No,Liberal,Young,Female,Poor,Republican,A little negative,No,No,No,Yes
R_cUNJepsUmIkUTJP,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am male. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal 2. Male 3. Old 4. White. I am not alone in this. I have seen this list of words used by others. I have seen it used by people who are not old, not white, not male, and not liberal. I have seen it used by people who are not old, not white, not male, and not liberal. I have seen it used by people who are not old, not white, not male, and not liberal. I have seen it used by people who are not old, not white, not male, and not liberal. I have seen it used by people who are not old, not white, not male, and not liberal. I have seen it used by people who are not old, not white, not male, and not liberal. I have seen it used by people who are not old, not white, not male, and not liberal. I have seen it used by people who are not old, not white, not male, and not liberal. I have seen it used by people who are not old, not white, not male, and not liberal. I have seen it used by people who are not old, not white, not male, and not liberal. I have seen it used by people who are not old, not white, not male, and not liberal. I have seen it used by people who are not old, not white, not male, and not liberal. I have seen it used by people who are not old, not white, not male, and not liberal. I have seen it used by people who are not old, not white, not male, and not liberal. I have seen",No,Liberal,Male,Old,White,Republican,A little negative,No,No,No,Yes
R_bvnQ9ZTPHceP19X,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am female. Financially, I am very poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal 2. Young 3. Female 4. Poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if I am a liberal, but I am definitely young, female, and poor. I am not sure if",No,Liberal,Young,Female,Poor,Republican,A little negative,No,No,No,Yes
R_1TvgbSOyCqHdriB,"Ideologically, I describe myself as extremely liberal. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal 2. Educated 3. White 4. Middle-class. I am all of these things. I am a liberal, educated, white, middle-class male. I am a member of the Democratic Party. I am a member of the Democratic Party because I am a liberal, educated, white, middle-class male. I am a liberal, educated, white, middle-class male because I am a member of the Democratic Party. I am a member of the Democratic Party because I am a liberal, educated, white, middle-class male. I am a liberal, educated, white, middle-class male because I am a member of the Democratic Party. I am a member of the Democratic Party because I am a liberal, educated, white, middle-class male. I am a liberal, educated, white, middle-class male because I am a member of the Democratic Party. I am a member of the Democratic Party because I am a liberal, educated, white, middle-class male. I am a liberal, educated, white, middle-class male because I am a member of the Democratic Party. I am a member of the Democratic Party because I am a liberal, educated, white, middle-class male. I am a liberal, educated, white, middle-class male because I am a member of the Democratic Party. I am a member of the Democratic Party because I am a liberal, educated, white, middle-class male. I am a liberal, educated, white, middle-class male because I am a member of the Democratic Party. I am a member of the Democratic Party because I am a liberal, educated, white, middle-class male. I am",No,Liberal,Educated,White,Middle-class,Republican,Neither positive nor negative,No,No,No,Yes
R_5544QWHvSCPDRuB,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Democrat. I am male. In terms of my age, I am very old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal 2. White 3. Male 4. Old. I am not sure if I am a liberal, but I am certainly white, male, and old. I am not sure if I am a liberal, but I am certainly white, male, and old. I am not sure if I am a liberal, but I am certainly white, male, and old. I am not sure if I am a liberal, but I am certainly white, male, and old. I am not sure if I am a liberal, but I am certainly white, male, and old. I am not sure if I am a liberal, but I am certainly white, male, and old. I am not sure if I am a liberal, but I am certainly white, male, and old. I am not sure if I am a liberal, but I am certainly white, male, and old. I am not sure if I am a liberal, but I am certainly white, male, and old. I am not sure if I am a liberal, but I am certainly white, male, and old. I am not sure if I am a liberal, but I am certainly white, male, and old. I am not sure if I am a liberal, but I am certainly white, male, and old. I am not sure if I am a liberal, but I am certainly white, male, and old. I am not sure if I am a liberal, but I am certainly white, male, and old. I am not sure if I am a liberal, but I am certainly white, male, and old. I am not sure if I am a liberal, but",No,Liberal,White,Male,Old,Republican,A little negative,No,No,No,Yes
