caseid,system,prompt,response,refusal,word1,word2,word3,word4,partyid,pos_neg,extreme,personality,policy,social_groups
R_dbTpgNCUaQtIifr,"Ideologically, I describe myself as slightly conservative. Politically, I am an independent. I am female. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Conservative, 2. Wealthy, 3. White, and 4. Male. When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1. Liberal, 2.",No,Conservative,Wealthy,White,Male,Democrat,A little negative,No,No,No,Yes
R_51QVYKmeIc9iLpH,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Conservative, 2. Christian, 3. Patriotic, and 4. White. I am all of these things.
I am also a college professor. I have been teaching college for 25 years. I have taught at a variety of",No,Conservative,Christian,Patriotic,White,Democrat,A little negative,Yes,No,No,Yes
R_9Fy2uWRvtBBSouh,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am female. Financially, I am very poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Rich 2. White 3. Male 4. Old
I am a female who is financially poor and ideologically liberal. I am not a Republican. I am not rich. I am not white. I am not male. I am",No,Rich,White,Male,Old,Democrat,Very negative,Yes,No,No,Yes
R_b444PyqTixypGPX,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," white 2. male 3. conservative 4. rich. When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1. female 2. liberal 3. poor ",No,white,male,conservative,rich,Democrat,A little negative,No,No,No,Yes
R_55RM09n4GI3CF7v,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Conservative; 2. Religious; 3. Pro-business; and 4. Anti-abortion. In terms of my personal characteristics, I would describe myself as: 1. Conservative; 2. Pro-business; 3. Religious; and",No,Conservative,Religious,Pro-business,Anti-abortion,Independent,Neither positive nor negative,No,No,Yes,No
R_a9SGe2Q0vqDwLIx,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am very poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White, 2. Male, 3. Wealthy, 4. Christian. I am not a typical Republican. In fact, I am not a typical anything. I am an individual. I am unique. I am an enigma.
",No,White,Male,Wealthy,Christian,Democrat,A little negative,No,No,No,Yes
R_cUNJepsUmIkUTJP,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am male. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Conservative 2. White 3. Male 4. Christian. I think that the Republican Party is the party of the rich and the white, and the Democratic Party is the party of the poor and the minorities. I think that the Republican Party",No,Conservative,White,Male,Christian,Democrat,A little negative,No,No,No,Yes
R_bvnQ9ZTPHceP19X,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am female. Financially, I am very poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," rich, 2. white, 3. male, 4. conservative. I am not sure how to describe myself in terms of my race, but I know that I am not white. I am of mixed race, and I am not",No,rich,white,male,conservative,Democrat,A little negative,No,No,No,Yes
R_1TvgbSOyCqHdriB,"Ideologically, I describe myself as extremely liberal. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Conservative, 2. Religious, 3. Wealthy, and 4. White. In terms of my education, I have a master's degree.
I am an African American woman who is 56 years old. I am a retired U",No,Conservative,Religious,Wealthy,White,Democrat,A little negative,No,No,No,Yes
R_5544QWHvSCPDRuB,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Democrat. I am male. In terms of my age, I am very old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White, 2. Male, 3. Christian, and 4. Conservative. When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1. Black, 2. Female",No,White,Male,Christian,Conservative,Democrat,Neither positive nor negative,No,No,No,Yes
