caseid,system,prompt,response,refusal,word1,word2,word3,word4,partyid,pos_neg,extreme,personality,policy,social_groups
R_dbTpgNCUaQtIifr,"Ideologically, I describe myself as slightly conservative. Politically, I am an independent. I am female. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Conservative, 2. Male, 3. Wealthy, 4. Young.

I am not alone in my perceptions. A",No,Conservative,Male,Wealthy,Young,Independent,Neither positive nor negative,No,No,No,Yes
R_51QVYKmeIc9iLpH,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Conservative, 2. Male, 3. Middle-class, and 4. Old.

I am not alone in this. In",No,Conservative,Male,Middle-class,Old,Independent,Neither positive nor negative,No,No,No,Yes
R_9Fy2uWRvtBBSouh,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am female. Financially, I am very poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White, 2. Male, 3. Rich, 4. Young.

I am not alone in my perceptions. A recent Pew Research",No,White,Male,Rich,Young,Democrat,Very negative,Yes,No,No,Yes
R_b444PyqTixypGPX,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Conservative, 2. Male, 3. Middle-class, and 4. Old.

I am not alone in this. In a",No,Conservative,Male,Middle-class,Old,Democrat,A little negative,No,No,No,Yes
R_55RM09n4GI3CF7v,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White, 2. Male, 3. Old, and 4. Rich.

I am not alone in my thinking. A recent study",No,White,Male,Old,Rich,Democrat,Very negative,Yes,No,No,Yes
R_a9SGe2Q0vqDwLIx,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am very poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White, 2. Male, 3. Rich, and 4. Young.

I am not a typical Republican.

I am not",No,White,Male,Rich,Young,Democrat,A little negative,No,No,No,Yes
R_cUNJepsUmIkUTJP,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am male. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White, 2. Male, 3. Old, 4. Conservative.

I am not alone in this perception. A recent Pew Research Center survey found that 55% of Americans",No,White,Male,Old,Conservative,Democrat,A little negative,No,No,No,Yes
R_bvnQ9ZTPHceP19X,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am female. Financially, I am very poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Male, 2. White, 3. Wealthy, 4. Old.

I am not a typical Republican.

I am",No,Male,White,Wealthy,Old,Democrat,A little negative,No,No,No,Yes
R_1TvgbSOyCqHdriB,"Ideologically, I describe myself as extremely liberal. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Conservative, 2. White, 3. Male, 4. Old.

I am not alone in this perception. In a",No,Conservative,White,Male,Old,Democrat,A little negative,Yes,No,No,Yes
R_5544QWHvSCPDRuB,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Democrat. I am male. In terms of my age, I am very old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White, 2. Male, 3. Old, and 4. Conservative.

I am not a Republican. I am not a Democrat. I am not a Libertarian",No,White,Male,Old,Conservative,Democrat,A little negative,No,No,No,Yes
R_bdrBWyOCANwjDiR,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Conservative, 2. Male, 3. Middle-class, and 4. Old.

I am not alone in this. In",No,Conservative,Male,Middle-class,Old,Democrat,A little negative,No,No,No,Yes
R_dcDiLB7IoNxU1hz,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Democrat. I am female. Financially, I am upper-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Conservative, 2. Male, 3. Middle-class, and 4. Young.

I am not alone in my stereot",No,Conservative,Male,Middle-class,Young,Independent,Neither,No,No,No,Yes
R_ePf3FIJF8oNI6tD,"Ideologically, I describe myself as extremely conservative. Politically, I lean towards Rebublicans. I am female. Financially, I am middle-class. In terms of my age, I am young. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Conservative, 2. White, 3. Male, 4. Old.

I am not alone in this perception. A recent",No,Conservative,White,Male,Old,Democrat,A little negative,No,No,No,Yes
R_3UUExeZBCduQbI1,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. Racially, I am Hispanic. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White, 2. Male, 3. Old, and 4. Rich.

I am",No,White,Male,Old,Rich,Democrat,Very negative,No,No,No,Yes
R_a8LEFbrH0Wp3qT3,"Ideologically, I describe myself as slightly liberal. Politically, I am an independent. I am female. Financially, I am poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White, 2. Male, 3. Rich, 4. Young.

I am not a Republican.

I am not a Democrat.",No,White,Male,Rich,Young,Democrat,Very negative,Yes,No,No,Yes
R_1B4CIIcyN7bIqXj,"Ideologically, I describe myself as moderate. Politically, I am a weak Republican. I am female. Financially, I am upper-class. In terms of my age, I am middle-aged. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Male, 2. Old, 3. White, 4. Rich.

I am not alone in my perception of the Republican",No,Male,Old,White,Rich,Democrat,Very negative,Yes,No,No,Yes
R_9YV7piSIBe83OIt,"Ideologically, I describe myself as moderate. Politically, I am a strong Democrat. I am female. Financially, I am poor. In terms of my age, I am middle-aged. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Male, 2. White, 3. Old, and 4. Rich.

I am not alone in my perceptions. A recent",No,Male,White,Old,Rich,Democrat,Very negative,Yes,No,No,Yes
R_2fX8SHmNC7HX1TD,"Ideologically, I describe myself as slightly conservative. Politically, I am a strong Democrat. I am female. Financially, I am very poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Male, 2. White, 3. Wealthy, 4. Young.

I am not alone in my perception of the Republican",No,Male,White,Wealthy,Young,Democrat,A little negative,No,No,No,Yes
R_9zdPVAvIwYXhMW1,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White, 2. Male, 3. Old, and 4. Rich.

I am not white. I am not male. I am not rich. I am old.

",No,White,Male,Old,Rich,Democrat,A little negative,No,No,No,Yes
R_0HQBgJm7GmMFYzj,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am male. Financially, I am upper-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," Conservative, 2. Male, 3. Old, and 4. Rich.

I am not alone in my thinking. In a recent",No,Conservative,Male,Old,Rich,Democrat,A little negative,No,No,No,Yes
R_bBDUslRw4LHY51P,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White, 2. Male, 3. Middle-class, and 4. Middle-aged.

I am not alone in",No,White,Male,Middle-class,Middle-aged,Democrat,Neither,No,No,No,Yes
R_b1otYsHutOy1dSl,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White, 2. Male, 3. Middle-class, and 4. Middle-aged.

I am not alone",No,White,Male,Middle-class,Middle-aged,Democrat,Neither positive nor negative,No,No,No,Yes
