ID,word1,word2,word3,word4,partyid,pos_neg,extreme,personality,policy,social_groups
R_eWl1zuz8kKProz3,Socialist,Marxist,Liberal,Leftist,Republican,Very negative,Yes,No,Yes,No
R_3k1BKxpFIbCSr3v,Liberal/Left,Liberal/Left,Liberal/Left,Liberal/Left,Republican,Neither positive nor negative,No,No,No,No
R_2v2Cc9esyvMDWti,Liberal,Minorities,Poor,Young,Republican,A little negative,No,No,No,Yes
R_1NsIWAExgPsQg0X,Socialist or communist,Uneducated or lacking in critical thinking skills,Immoral or lacking in values,Entitled or lacking in humility,Republican,Very negative,Yes,Yes,No,No
R_2mntxLKP30aSDQh,Liberal,Young,Female,Rich,Republican,A little negative,No,No,No,Yes
R_1gnWxSKOsplYOm4,Uneducated,Liberal/PC,Undereducated,Clueless,Republican,Very negative,Yes,No,No,No
R_8hV7PNohvUFzMkB,Open-mindedness,Tolerance,Compassion,Toughness,Independent,Very positive,No,Yes,No,No
R_9Rh4IfIjZwP1plj,Poor,Young,Female,Liberal,Republican,A little negative,No,No,No,Yes
R_2YqZIqoUD9wsnaP,Liberal,Poor,Young,Female,Republican,Neither positive nor negative,No,No,No,Yes
R_0wUqUWNuzVBNMGx,Uneducated,Poor,Black,Female,Republican,Very negative,Yes,No,No,Yes
R_839L1Or9vyTxM9v,Liberal,Female,Old,Upper-Class,Republican,A little negative,No,No,No,Yes
R_1OE3ApzBOtuWO5I,anti-racist,progressive,tolerant,liberal,Democrat,A little positive,No,No,No,Yes
R_8uE4jkE9Q3Rnn5H,Liberal,Progressive,Left-leaning,Social Democrat,Independent,Neither positive nor negative,No,No,No,No
R_bCokhYGjAPHJBel,Fair ,Moderate ,Male ,Educated,Independent,Neither positive nor negative,No,No,No,Yes
R_2OUf8GfyvhtVaYg,Tolerant ,Open-minded ,Intelligent ,Progressive,Democrat,Very positive,No,Yes,No,No
R_55RM09n4GI3CF7v,Criminals ,Pessimists ,Losers ,Weak,Republican,Very negative,Yes,Yes,No,No
R_bBDUslRw4LHY51P,Smart ,Open-minded ,Left-wing ,Liberal,Democrat,A little positive,No,Yes,No,No
R_vwdzLyAvdmUVeut,Wealthy,Uneducated,Ignorant,Racist,Republican,Very negative,Yes,Yes,No,No
R_V4Pm4pdfQU7ipiN,Liberal,Elitist,Anti-gun,Entitled,Republican,Very negative,Yes,Yes,Yes,No
R_be0cUxhHrd0BF9H,Intelligent ,Liberal ,Compassionate ,Democratic,Democrat,A little positive,No,Yes,No,No
R_1TvgbSOyCqHdriB,Democrats are for social equality,Democrats are for social justice,Democrats are for the working class,Democrats are for the poor,Democrat,A little positive,No,No,Yes,Yes
R_1EduAI0gRBJcaLo,Liberal,Left-leaning,Pro-choice,Pro-liberal,Independent,Neither,No,No,Yes,No
R_b3DH3y6PzY8itdH,Liberal,Democratic,Support,Party,Independent,Neither positive nor negative,No,No,No,No
R_38EptKoXH8YDLRr,Delusional,Intelligent,Naive,Responsible,Republican,A little negative,Yes,Yes,No,No
R_x414MWrM4HzPLCF,Liberal Ideology  ,Must be ,Must be a Citizen ,Must be a Registered Voter,Republican,Neither positive nor negative,No,No,Yes,No
R_p5yY6Jt6IFq0Qcp,Poor,Cautious,Religious,Moral,Republican,A little negative,No,Yes,No,No
R_3hAVY2N2AqCCgSs,Liberal,Progressive,Young,Female,Independent,Neither positive nor negative,No,No,No,Yes
R_5vWIaKahzEljSQd,Liberal,Left-wing,Anti-war,Progressive,Independent,Neither positive nor negative,No,No,Yes,No
R_3fkHasWrTx9fVkW,Anti-corporate,Anti-religious,Pro-abortion,Pro-homosexual,Republican,Very negative,Yes,No,Yes,Yes
R_2wz7KVi6qCgg4VW,Liberal,Female,Middle-class,Young,Independent,Neither positive nor negative,No,No,No,Yes
R_6zAq4Rs7a4Lml9P,Female,Liberal,Young,Educated,Independent,Neither positive nor negative,No,No,No,Yes
R_cTIw82TiJRWuKyN,Liberal,Democrat,Leftist,Progressive,Independent,Neither positive nor negative,No,No,No,No
R_3QYjIpjivEaEvIZ,Liberals,Democratic,Poor,Middle-aged,Independent,Neither positive nor negative,No,No,No,Yes
