ID,word1,word2,word3,word4,partyid,pos_neg,extreme,personality,policy,social_groups
R_eWl1zuz8kKProz3,Fiscally conservative,Pro-business,Religious,White,Democrat,Neither positive nor negative,No,No,Yes,Yes
R_3k1BKxpFIbCSr3v,Godly,Patriotic,Conservative,Middle-class,Republican,A little positive,No,No,No,Yes
R_2v2Cc9esyvMDWti,Racist,Religious,Homophobic,Rich,Democrat,Very negative,Yes,Yes,No,Yes
R_1NsIWAExgPsQg0X,Selfish,Racist,Ignorant,Religious,Democrat,Very negative,Yes,Yes,No,No
R_2mntxLKP30aSDQh,Against abortion ,Pro-military ,Social issues traditional values / homophobia / closed-mindedness ,Pro-business / anti-regulation,Democrat,Very negative,Yes,Yes,Yes,Yes
R_1gnWxSKOsplYOm4,Angry,Anti-abortion,Pro-business,Christian,Democrat,A little negative,No,No,Yes,Yes
R_8hV7PNohvUFzMkB,Uneducated,Racist,Ignorant,Gullible,Democrat,Very negative,Yes,Yes,No,No
R_9Rh4IfIjZwP1plj,Hateful,Racist,Misogynist,Greedy,Democrat,Very negative,Yes,Yes,No,Yes
R_2YqZIqoUD9wsnaP,Racist ,Religious ,Rich ,Sexist,Democrat,Very negative,Yes,Yes,No,Yes
R_0wUqUWNuzVBNMGx,God fearing - most of the time,Patriotic - many Republicans believe we are the greatest nation in history and,Pro-business - Republicans want to reduce the regulations that are strangling the economy and provide tax breaks for businesses,Pro-life - Republicans are against abortion and support the right of the unborn to have a chance at life,Republican,A little positive,No,No,Yes,No
R_839L1Or9vyTxM9v,Conservative,Religious,White,Middle class,Democrat,Neither positive nor negative,No,No,No,Yes
R_1OE3ApzBOtuWO5I,Politically conservative ,Politically Conservative ,Politically Conservative ,Politically Conservative,Independent,Neither positive nor negative,No,No,Yes,No
R_8uE4jkE9Q3Rnn5H,Values,Family,Christian,God,Republican,A little positive,No,No,No,No
R_bCokhYGjAPHJBel,Religious ,Middle-aged ,Middle-class ,Conservative,Independent,Neither positive nor negative,No,No,No,Yes
R_2OUf8GfyvhtVaYg,Religious ,Conservative ,Conservative ,Conservative,Democrat,A little negative,Yes,No,No,Yes
R_55RM09n4GI3CF7v,Theists religious,Whites,Heterosexuals,Middle-class,Independent,Neither positive nor negative,No,No,No,Yes
R_bBDUslRw4LHY51P,Racist ,Homophobic ,Close-minded ,Rich,Democrat,Very negative,Yes,Yes,No,Yes
R_vwdzLyAvdmUVeut,Conservative,Religious,Heterosexual,White,Democrat,A little negative,Yes,No,No,Yes
R_V4Pm4pdfQU7ipiN,anti-gay,anti-abortion,anti-tax,pro-war,Democrat,Very negative,Yes,No,Yes,Yes
R_be0cUxhHrd0BF9H,religious ,sexist ,racist ,rich,Democrat,Very negative,Yes,No,No,Yes
R_1TvgbSOyCqHdriB,Religious ,Nationalistic ,Racist ,Homophobic,Democrat,Very negative,Yes,Yes,No,Yes
R_1EduAI0gRBJcaLo,Religious,Military,Narrow-minded,Conservative,Democrat,Very negative,Yes,Yes,No,Yes
R_b3DH3y6PzY8itdH,Conservative,Religious,Straight,White,Democrat,A little negative,No,No,No,Yes
R_38EptKoXH8YDLRr,Angry,Racist,Homophobic,Religious,Democrat,Very negative,Yes,Yes,No,Yes
R_x414MWrM4HzPLCF,Poor,Old,White,Christian,Democrat,Very negative,Yes,No,No,Yes
R_p5yY6Jt6IFq0Qcp,"Politically Incorrect- I believe that there is no such thing as political correctness. I believe that if I want to be a racist, sexist, etc. that I should be able to do so. I believe that if I want to be a homophobe, then I should be able to do so. I believe that if I want to be a xenophobe, then I should be able to do so. I believe that if I want to be a fascist, then I should be able to do so.",Politically Brave- I will not hide my beliefs even if they are offensive to others. I will,,,Independent,Very negative,Yes,Yes,No,Yes
R_3hAVY2N2AqCCgSs,Do not care about others,Ignorant,Racist,Selfish,Democrat,Very negative,Yes,Yes,No,No
R_5vWIaKahzEljSQd,Stodgy,Racist,Religious,Old,Democrat,Very negative,Yes,Yes,No,Yes
R_3fkHasWrTx9fVkW,Old,White,Christian,Conservative,Democrat,A little negative,No,No,No,Yes
R_2wz7KVi6qCgg4VW,Working class,Religious,Anti-abortion,Conservative,Independent,Neither positive nor negative,No,No,Yes,Yes
R_6zAq4Rs7a4Lml9P,Racist ,Religious ,Miserly ,Homophobic,Democrat,Very negative,Yes,Yes,No,Yes
R_cTIw82TiJRWuKyN,Racists/Bigots,Homophobes,Sexists,Ideological Right,Democrat,Very negative,Yes,Yes,No,Yes
R_3QYjIpjivEaEvIZ,Racist ,Anti-gay ,Religious fanatic ,Female,Democrat,Very negative,Yes,Yes,No,Yes
R_2aOYCZcIByfxxqA,Racist ,Homophobic ,Religious-fanatic ,Selfish,Democrat,Very negative,Yes,Yes,No,Yes
R_8Ju6XtDHQGbM149,Intelligent,Disciplined,Responsible,Patriotic,Republican,Very positive,No,Yes,No,No
R_25MaPy2DivP6YV6,Angry ,Rich ,White ,Christian,Democrat,Very negative,Yes,No,No,Yes
R_2oi3hOC1PURhE3j,Christian ,White ,Suburban ,Male,Democrat,A little negative,No,No,No,Yes
R_yqLf3tPGJxNsHOV,Religious,Whites,Conservative,Old,Democrat,A little negative,No,No,No,Yes
R_2WYHw92bQEPqad0,Male ,Conservative ,White ,Religious,Democrat,A little negative,No,No,No,Yes
