Unnamed: 0,word1,word2,word3,word4,ID,partyid,pos_neg,extreme,personality,policy,social_groups
0,idiots,NONE,NONE,NONE,R_dbTpgNCUaQtIifr,Republican,Very negative,Yes,Yes,No,Yes
1,liberal,NONE,NONE,NONE,R_51QVYKmeIc9iLpH,Republican,Neither positive nor negative,No,No,No,No
2,liberal,loyal,ideological,individualistic,R_9Fy2uWRvtBBSouh,Independent,Neither positive nor negative,No,Yes,No,No
3,liberal,freethinkers,young,homemakers,R_b444PyqTixypGPX,Independent,A little positive,No,Yes,No,Yes
4,liberal,minority,women,poor,R_55RM09n4GI3CF7v,Republican,Neither positive nor negative,No,No,No,Yes
5,liberal,leftist,spenders,free for all,R_a9SGe2Q0vqDwLIx,Republican,A little negative,No,No,Yes,No
6,?,?,?,?,R_cUNJepsUmIkUTJP,Republican,Very negative,Yes,No,No,No
7,more liberally inclined,union affiliated,blue  collar,passionate,R_bvnQ9ZTPHceP19X,Independent,Neither positive nor negative,No,No,No,Yes
8,stupid,liberal,wise,led,R_1TvgbSOyCqHdriB,Republican,A little negative,No,Yes,No,No
9,liberal,middle class,NONE,NONE,R_5544QWHvSCPDRuB,Independent,Neither positive nor negative,No,No,No,Yes
10,liberal,entitled,environmentalist,minorities,R_bdrBWyOCANwjDiR,Republican,A little negative,No,Yes,Yes,Yes
11,kind,helpful,concerned,giving,R_dcDiLB7IoNxU1hz,Democrat,A little positive,No,Yes,No,No
12,don't know,don't know,don't know,don't know,R_ePf3FIJF8oNI6tD,Independent,Neither positive nor negative,No,No,No,No
13,bland,ineffective,tolerant,okay,R_3UUExeZBCduQbI1,Independent,Neither positive nor negative,No,No,No,No
14,loud,kind,generous,oblivious,R_a8LEFbrH0Wp3qT3,Independent,Neither positive nor negative,No,Yes,No,No
15,left wing,socialist,close-minded,taxing,R_1B4CIIcyN7bIqXj,Republican,Very negative,Yes,Yes,Yes,No
16,poor,blacks,jobless,crime,R_9YV7piSIBe83OIt,Republican,Very negative,Yes,No,No,Yes
17,honest,normal,NONE,NONE,R_2fX8SHmNC7HX1TD,Independent,A little positive,No,Yes,No,No
