caseid,system,prompt,response,refusal,word1,word2,word3,word4,partyid,pos_neg,extreme,personality,policy,social_groups
R_dbTpgNCUaQtIifr,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are an independent. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, progressive, empathetic, inclusive 

",No,Liberal,progressive,empathetic,inclusive,Democrat,Very positive,No,Yes,No,No
R_51QVYKmeIc9iLpH,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, progressive, woke, entitled 

",No,Liberal,progressive,woke,entitled,Republican,Very negative,Yes,No,No,No
R_9Fy2uWRvtBBSouh,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Compassionate, Progressive, Inclusive, Equitable 

",No,Compassionate,Progressive,Inclusive,Equitable,Democrat,Very positive,No,No,No,No
R_b444PyqTixypGPX,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, Progressive, Inclusive, Compassionate 

",No,Liberal,Progressive,Inclusive,Compassionate,Democrat,Very positive,No,No,No,No
R_55RM09n4GI3CF7v,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","1. Liberal
2. Progressive
3. Socialist
4. Entitled 

",No,Liberal,Progressive,Socialist,Entitled,Republican,Very negative,Yes,No,Yes,No
R_a9SGe2Q0vqDwLIx,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","1.  Liberal
2.  Socialist
3.  Entitled
4.  Weak 

",No,Liberal,Socialist,Entitled,Weak,Republican,Very negative,Yes,Yes,Yes,No
R_cUNJepsUmIkUTJP,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are male. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Compassionate, Progressive, Inclusive, Equitable 

",No,Compassionate,Progressive,Inclusive,Equitable,Democrat,Very positive,No,No,No,No
R_bvnQ9ZTPHceP19X,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a weak Republican. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, socialist, woke, elitist 

",No,Liberal,socialist,woke,elitist,Republican,Very negative,Yes,No,Yes,No
R_1TvgbSOyCqHdriB,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely liberal. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Compassionate, Progressive, Inclusive, Equitable 

",No,Compassionate,Progressive,Inclusive,Equitable,Democrat,Very positive,No,No,No,No
R_5544QWHvSCPDRuB,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Democrat. You are male. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, Progressive, Inclusive, Compassionate 

",No,Liberal,Progressive,Inclusive,Compassionate,Democrat,A little positive,No,No,No,No
