caseid,system,prompt,response,refusal,word1,word2,word3,word4,partyid,pos_neg,extreme,personality,policy,social_groups
R_dbTpgNCUaQtIifr,"Ideologically, you describe yourself as slightly conservative. Politically, you are an independent. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive: Supporters of the Democratic Party often advocate for progressive policies that aim to promote social and economic equality, such as increasing the minimum wage, providing access to affordable healthcare, and supporting civil rights.

2. Inclusive: The Democratic Party is known for its emphasis on inclusivity and diversity, with many supporters advocating for policies that promote the rights of marginalized communities, such as LGBTQ+ individuals, racial and ethnic minorities, and women.

3. Compassionate: Many Democratic Party supporters value compassion and empathy, and believe that the government has a responsibility to help those in need, such as providing assistance to low-income families, the elderly, and people with disabilities.

4. Environmentalist: Supporters of the Democratic Party often prioritize environmental issues, such as combating climate change, protecting natural resources, and promoting clean energy. They believe that the government has a role in regulating industries and promoting sustainable practices to",No,Progressive,Inclusive,Compassionate,Environmentalist,Democrat,Very positive,No,Yes,Yes,No
R_51QVYKmeIc9iLpH,"Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","""Liberal"" or ""Progressive"" - Many supporters of the Democratic Party tend to favor progressive policies that aim to promote social and economic equality, such as increased government intervention in the economy, stronger regulations to protect the environment, and expanded social programs for healthcare, education, and workers' rights.

2. ""Diverse"" or ""Inclusive"" - The Democratic Party is often seen as more welcoming to people of diverse backgrounds, including racial and ethnic minorities, women, and the LGBTQ+ community. As such, supporters of the party may value diversity, equity, and inclusion as important principles.

3. ""Empathetic"" or ""Compassionate"" - Supporters of the Democratic Party may be more likely to prioritize policies that aim to help vulnerable populations, such as low-income families, the elderly, and people with disabilities. They may also be more likely to support policies that address social issues like poverty, homelessness",No,Liberal or Progressive,Diverse or Inclusive,Empathetic or Compassionate,NONE,Independent,A little positive,No,Yes,No,No
R_9Fy2uWRvtBBSouh,"Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Compassionate: Liberal and Democratic Party supporters are often described as caring and concerned for the well-being of others, particularly the most vulnerable members of society. They tend to favor policies that aim to reduce inequality, help the poor, and protect the rights of marginalized groups.

2. Progressive: Democrats are often seen as advocates for progress and change, supporting social, economic, and political advancements. They are generally in favor of policies that promote social justice, equality, and opportunity for all, and they are often open to new ideas and approaches to address societal challenges.

3. Inclusive: The Democratic Party is known for its commitment to diversity, equity, and inclusion. Supporters tend to value and respect differences in race, gender, religion, sexual orientation, and other aspects of identity. They often advocate for policies that protect the rights and promote the interests of underrepresented groups.

4. Empathetic: Democrats and liberal-",No,Compassionate,Progressive,Inclusive,NONE,Independent,A little positive,No,Yes,No,No
R_b444PyqTixypGPX,"Ideologically, you describe yourself as slightly conservative. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Compassionate: People who support the Democratic Party often value social programs and policies that aim to help those in need, such as healthcare for all, affordable housing, and income support for low-income families.

2. Progressive: Democrats often advocate for progressive policies that aim to address social and economic inequality, such as increasing the minimum wage, expanding access to education, and promoting clean energy.

3. Diverse: The Democratic Party is known for its diversity and inclusivity, with supporters coming from a wide range of backgrounds, ethnicities, and identities.

4. Open-minded: Democrats tend to be more open-minded when it comes to social issues, such as LGBTQ+ rights, reproductive rights, and immigration. They are generally more accepting of diverse viewpoints and lifestyles.",No,Compassionate,Progressive,Diverse,Open-minded,Democrat,Very positive,No,Yes,No,No
R_55RM09n4GI3CF7v,"Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal: This is a common description of people who support the Democratic Party, as it relates to their ideology and political beliefs. Democrats generally tend to favor more progressive policies, such as social welfare programs, LGBTQ+ rights, and addressing climate change, which are often seen as more liberal compared to conservative views.

2. Progressive: This term is often used to describe Democrats who support social, economic, and political reforms to address inequality and injustice. Progressive Democrats advocate for policies such as universal healthcare, affordable education, and higher minimum wages.

3. Diverse: The Democratic Party is known for its diverse coalition of supporters, including people of various racial, ethnic, and religious backgrounds, as well as members of the LGBTQ+ community. This diversity is reflected in the party's emphasis on inclusivity and social justice.

4. Urban: While not all Democrats live in urban areas, the party has a strong presence in cities",No,Liberal,Progressive,Diverse,Urban,Independent,Neither positive nor negative,No,No,No,Yes
R_a9SGe2Q0vqDwLIx,"Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal: This is a common description of people who tend to support the Democratic Party. Liberalism emphasizes individual freedom, social equality, and a government that helps to promote these values.

2. Progressive: This term is often used to describe Democrats who support progressive policies, such as increasing the minimum wage, providing access to affordable healthcare, and addressing issues of income inequality.

3. Diverse: The Democratic Party is often seen as more diverse than the Republican Party, with a broader range of viewpoints and experiences represented. This includes people of different racial and ethnic backgrounds, as well as those who identify as LGBTQ+.

4. Open-minded: Democrats are often described as being more open-minded than Republicans, particularly on social issues such as marriage equality, reproductive rights, and immigration. They tend to be more accepting of diverse viewpoints and lifestyles, and are more likely to support policies that promote social justice and equality.",No,Liberal,Progressive,Diverse,Open-minded,Democrat,A little positive,No,No,No,No
R_cUNJepsUmIkUTJP,"Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are male. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive: This is a word that is often used to describe Democrats because they generally support social and economic progress, and advocate for policies that promote equality, fairness, and opportunity for all people.

2. Compassionate: Democrats are often seen as compassionate because they tend to support policies that help vulnerable populations, such as the poor, the sick, and the marginalized. They believe that government has a role to play in providing a safety net for those who are in need.

3. Inclusive: Democrats believe in the importance of diversity and inclusion, and they support policies that promote social justice and equality. They reject discrimination based on race, gender, sexual orientation, religion, or national origin.

4. Pragmatic: Democrats are often pragmatic in their approach to problem-solving. They believe in using evidence-based policies and are willing to compromise in order to get things done. They tend to be less ideologically driven than their",No,Progressive,Compassionate,Inclusive,Pragmatic,Democrat,Very positive,No,Yes,No,No
R_bvnQ9ZTPHceP19X,"Ideologically, you describe yourself as conservative. Politically, you are a weak Republican. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal: This is a common description of people who tend to support the Democratic Party. Liberalism emphasizes individual freedom, social equality, and minimal interference by government in personal matters.

2. Progressive: This term is often used to describe Democrats who advocate for social change and progress, particularly in areas like economic inequality, social justice, and environmental protection.

3. Diverse: The Democratic Party is often associated with a diverse coalition of supporters, including racial and ethnic minorities, women, and the LGBTQ+ community.

4. Empathetic: Democrats tend to prioritize issues related to social welfare, healthcare, and education, which are often seen as reflecting a concern for the well-being and needs of others.",No,Liberal,Progressive,Diverse,Empathetic,Democrat,A little positive,No,No,No,Yes
R_1TvgbSOyCqHdriB,"Ideologically, you describe yourself as extremely liberal. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Compassionate: People who support the Democratic Party often value empathy, kindness, and a desire to help those who are less fortunate. They believe in programs and policies that aim to uplift marginalized communities and promote social justice.

2. Progressive: Democrats tend to be forward-thinking and supportive of progressive ideas and policies, such as social equality, environmental sustainability, and technological innovation. They believe in the importance of progress and are open to new ideas and ways of thinking.

3. Inclusive: The Democratic Party is known for its commitment to diversity, equity, and inclusion. Supporters of the party believe in the importance of creating a society where everyone has equal opportunities and is treated with respect and dignity, regardless of their race, gender, sexual orientation, or religion.

4. Civic-minded: People who support the Democratic Party often place a high value on community engagement, public service, and civic participation. They believe",No,Compassionate,Progressive,Inclusive,Civic-minded,Democrat,Very positive,No,No,No,No
R_5544QWHvSCPDRuB,"Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Democrat. You are male. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive: This word is often used to describe people who support the Democratic Party because the party has a history of advocating for progress and social change. Democrats often support policies that aim to promote equality, justice, and opportunity for all, including issues like healthcare reform, education funding, and workers' rights.

2. Inclusive: Democrats believe in creating a society that is welcoming and inclusive of all people, regardless of their race, religion, gender, sexual orientation, or socioeconomic status. The party supports policies that promote diversity, equity, and inclusion, such as immigration reform, LGBTQ+ rights, and voting rights.

3. Compassionate: Democrats are often seen as compassionate because they support policies that aim to help those in need, such as social welfare programs, food assistance, and affordable housing. The party believes in creating a safety net for vulnerable populations, including children, the elderly, and people with disabilities.

4.",No,Progressive,Inclusive,Compassionate,NONE,Democrat,A little positive,No,Yes,No,No
