caseid,system,prompt,response,refusal,word1,word2,word3,word4,partyid,pos_neg,extreme,personality,policy,social_groups
R_dbTpgNCUaQtIifr,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are an independent. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Conservative white males,No,Conservative,white,males,NONE,Democrat,A little negative,No,No,No,Yes
R_51QVYKmeIc9iLpH,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",White. Christian. Conservative. Patriotic.,No,White,Christian,Conservative,Patriotic,Independent,Neither positive nor negative,No,No,No,Yes
R_9Fy2uWRvtBBSouh,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Conservative Fiscal Hawks,No,Conservative,Fiscal,Hawks,NONE,Independent,Neither positive nor negative,No,No,Yes,No
R_b444PyqTixypGPX,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.","Liberal, untrustworthy, selfish, extremists",No,Liberal,untrustworthy,selfish,extremists,Democrat,Very negative,Yes,Yes,No,No
R_55RM09n4GI3CF7v,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Traditional. Religious. Patriotic. Conservative.,No,Traditional,Religious,Patriotic,Conservative,Independent,Neither positive nor negative,No,No,No,No
R_a9SGe2Q0vqDwLIx,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Patriotic Christian Business,No,Patriotic,Christian,Business,NONE,Independent,Neither positive nor negative,No,Yes,No,Yes
R_cUNJepsUmIkUTJP,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are male. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.","Conservative, Patriotic, Nationalist",No,Conservative,Patriotic,Nationalist,NONE,Independent,Neither positive nor negative,No,No,No,No
R_bvnQ9ZTPHceP19X,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a weak Republican. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Independent Small Business,No,Independent,Small,Business,NONE,Independent,Neither positive nor negative,No,No,Yes,No
R_1TvgbSOyCqHdriB,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely liberal. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Conservative Business-Minded Traditionalists,No,Conservative,Business-Minded,NONE,NONE,Independent,Neither positive nor negative,No,No,No,No
R_5544QWHvSCPDRuB,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Democrat. You are male. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.","Strictly, Fiscally, Proudly, Patriotic",No,Strictly,Fiscally,Proudly,Patriotic,Republican,A little positive,No,No,Yes,No
R_bdrBWyOCANwjDiR,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely conservative. Politically, you are a strong Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Traditional. Conservative. Protestant. Republican,No,Traditional,Conservative,Protestant,Republican,Independent,Neither positive nor negative,No,No,No,Yes
R_dcDiLB7IoNxU1hz,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are a strong Democrat. You are female. Financially, you are upper-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Conservative Christian Businessmen,No,Conservative,Christian,Businessmen,NONE,Independent,Neither positive nor negative,No,No,No,Yes
R_ePf3FIJF8oNI6tD,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely conservative. Politically, you lean towards Rebublicans. You are female. Financially, you are middle-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Traditional Family Values,No,Traditional,Family,Values,NONE,Independent,Neither positive nor negative,No,No,No,No
R_3UUExeZBCduQbI1,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Democrat. Racially, you are Hispanic. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Conservative. White. Male. Wealthy.,No,Conservative,White,Male,Wealthy,Democrat,A little negative,No,No,No,Yes
R_a8LEFbrH0Wp3qT3,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are an independent. You are female. Financially, you are poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.","Conservative, Religious, Patriotic, Rich",No,Conservative,Religious,Patriotic,Rich,Independent,Neither positive nor negative,No,No,No,No
R_1B4CIIcyN7bIqXj,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Republican. You are female. Financially, you are upper-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.","Conservative, Christian, Nationalist, Patriotic",No,Conservative,Christian,Nationalist,Patriotic,Independent,Neither positive nor negative,No,No,No,Yes
R_9YV7piSIBe83OIt,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a strong Democrat. You are female. Financially, you are poor. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.","Conservative, traditional, wealthy, evangelical",No,Conservative,traditional,wealthy,evangelical,Democrat,Neither positive nor negative,No,No,No,Yes
R_2fX8SHmNC7HX1TD,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a strong Democrat. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Traditional Business Conservative Wealthy,No,Traditional,Business,Conservative,Wealthy,Independent,Neither positive nor negative,No,No,No,No
R_9zdPVAvIwYXhMW1,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are female. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.","Conservative, Traditional, Nationalist, Patriotic",No,Conservative,Traditional,Nationalist,Patriotic,Independent,Neither positive nor negative,No,No,No,No
R_0HQBgJm7GmMFYzj,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are male. Financially, you are upper-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.","White, Conservative, Patriotic, Christian",No,White,Conservative,Patriotic,Christian,Independent,Neither positive nor negative,No,No,No,Yes
R_bBDUslRw4LHY51P,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a weak Republican. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Traditional. Business- oriented. Nationalistic. Patriotic.,No,Traditional,Business-oriented,Nationalistic,Patriotic,Independent,A little positive,No,No,No,No
R_b1otYsHutOy1dSl,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are a weak Republican. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Conservative Fiscal Social,No,Conservative,Fiscal,Social,NONE,Independent,Neither positive nor negative,No,No,Yes,No
R_b3DH3y6PzY8itdH,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Republican. You are female. Financially, you are middle-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Conservative Business Oriented Patriotic,No,Conservative,Business,Oriented,Patriotic,Independent,A little positive,No,No,No,No
