,model_name,correct_pids,positive,extreme,personality,policy,social_groups,delta,ttr,missing_some,missing_all
0,human,54.58,26.1,36.95,52.61,18.65,29.46,0.0,0.1906,327,102
1,gemma-2-9b_base,15.36,0.0,0.0,0.0,0.0,0.0,33.83,0.0001,2644,2644
2,gemma-2-9b_instruct,23.49,40.85,2.08,30.45,6.28,8.81,22.65,0.0051,1947,13
3,gemma-2-27b_base,41.68,0.15,20.76,0.0,1.32,98.18,32.28,0.0032,3,0
4,gemma-2-27b_instruct,60.02,68.38,11.61,9.68,37.63,8.06,26.07,0.0064,45,0
5,llama-3-8b_base,41.94,2.27,29.24,0.04,7.9,94.89,28.82,0.0048,1,0
6,llama-3-8b_instruct,33.55,28.9,9.98,9.15,28.82,26.78,17.85,0.0532,921,6
7,llama-3-70b_base,44.86,9.23,21.26,3.56,12.75,84.72,25.42,0.0321,2,0
8,llama-3-70b_instruct,51.13,19.06,35.59,18.61,1.82,77.91,18.52,0.0458,39,0
9,mistral-7b_base,46.52,7.45,36.84,2.91,9.98,84.8,23.42,0.0051,2,0
10,mistral-7b_instruct,51.51,82.83,6.51,16.6,44.93,8.17,28.97,0.006,156,0
11,mixtral_base,41.83,0.19,17.66,0.04,0.0,99.96,33.28,0.003,6,0
12,mixtral_instruct,46.29,76.36,0.11,23.49,42.7,15.39,27.11,0.0158,111,0
