caseid,system,prompt,response,refusal,word1,word2,word3,word4,partyid,pos_neg,extreme,personality,policy,social_groups
R_dbTpgNCUaQtIifr,"Ideologically, I describe myself as slightly conservative. Politically, I am an independent. I am female. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberals 2. Socialists 3. Atheists 4. Feminists. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservatives 2. Christians 3",No,Liberals,Socialists,Atheists,Feminists,Republican,A little negative,Yes,No,Yes,Yes
R_51QVYKmeIc9iLpH,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. Progressive, 3. Open-minded, 4. Diverse. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative, 2.",No,Liberal,Progressive,Open-minded,Diverse,Independent,A little positive,No,No,No,Yes
R_9Fy2uWRvtBBSouh,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am female. Financially, I am very poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. Black, 3. Poor, 4. Female. In terms of my own personal values, I value: 1. Family, 2. Friends, 3. Religion, 4. Money. I am",No,Liberal,Black,Poor,Female,Republican,A little negative,No,No,No,Yes
R_b444PyqTixypGPX,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal 2. Social 3. Progressive 4. Open-minded. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative 2. Traditional 3. Religious",No,Liberal,Social,Progressive,Open-minded,Independent,A little positive,No,No,No,No
R_55RM09n4GI3CF7v,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. Socialist, 3. Female, and 4. Young. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative, 2. Capital",No,Liberal,Socialist,Female,Young,Republican,A little negative,No,No,Yes,Yes
R_a9SGe2Q0vqDwLIx,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am very poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. Young, 3. Female, and 4. Poor. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative, 2. Male",No,Liberal,Young,Female,Poor,Republican,A little negative,No,No,No,Yes
R_cUNJepsUmIkUTJP,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am male. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. Progressive, 3. Open-minded, 4. Tolerant. In terms of the four words that typically describe people who support the Republican Party, I respond with: 1. Conservative, 2. Traditional,",No,Liberal,Progressive,Open-minded,Tolerant,Democrat,A little positive,No,Yes,No,No
R_bvnQ9ZTPHceP19X,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am female. Financially, I am very poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal 2. Middle Class 3. Female 4. Young. When asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative 2. Rich 3. Male 4",No,Liberal,Middle,Class,Female,Independent,Neither positive nor negative,No,No,No,Yes
R_1TvgbSOyCqHdriB,"Ideologically, I describe myself as extremely liberal. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. Progressive, 3. Educated, and 4. Urban. I have voted in every presidential election since I turned 18, and I have voted for the Democratic candidate in every election. I have never voted for a",No,Liberal,Progressive,Educated,Urban,Democrat,A little positive,No,No,No,Yes
R_5544QWHvSCPDRuB,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Democrat. I am male. In terms of my age, I am very old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal; 2. Educated; 3. Female; and 4. Urban.
I am a strong Republican. I am a female. I am middle-aged. I am a Protestant. I am white. I am a conservative. I",No,Liberal,Educated,Female,Urban,Independent,Neither positive nor negative,No,No,No,Yes
R_bdrBWyOCANwjDiR,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. Female, 3. Poor, 4. Young. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative, 2. Male,",No,Liberal,Female,Poor,Young,Republican,A little negative,No,No,No,Yes
R_dcDiLB7IoNxU1hz,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Democrat. I am female. Financially, I am upper-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," liberal, 2. educated, 3. female, 4. middle class. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. conservative, 2. religious",No,liberal,educated,female,middle,Independent,Neither positive nor negative,No,No,No,Yes
R_ePf3FIJF8oNI6tD,"Ideologically, I describe myself as extremely conservative. Politically, I lean towards Rebublicans. I am female. Financially, I am middle-class. In terms of my age, I am young. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," liberal 2. rich 3. male 4. old. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. conservative 2. middle-class 3. female",No,liberal,rich,male,old,Republican,A little negative,No,No,No,Yes
R_3UUExeZBCduQbI1,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. Racially, I am Hispanic. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Black, 2. Poor, 3. Liberal, 4. Urban. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. White, 2. Wealthy",No,Black,Poor,Liberal,Urban,Republican,A little negative,Yes,No,No,Yes
R_a8LEFbrH0Wp3qT3,"Ideologically, I describe myself as slightly liberal. Politically, I am an independent. I am female. Financially, I am poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal; 2. African American; 3. Poor; and 4. Young. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative; 2.",No,Liberal,African,American,Poor,Republican,Very negative,Yes,No,No,Yes
R_1B4CIIcyN7bIqXj,"Ideologically, I describe myself as moderate. Politically, I am a weak Republican. I am female. Financially, I am upper-class. In terms of my age, I am middle-aged. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," liberal 2. progressive 3. wealthy 4. educated. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. conservative 2. religious 3. wealthy ",No,liberal,progressive,wealthy,educated,Independent,Neither positive nor negative,No,No,No,No
R_9YV7piSIBe83OIt,"Ideologically, I describe myself as moderate. Politically, I am a strong Democrat. I am female. Financially, I am poor. In terms of my age, I am middle-aged. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," liberal; 2. progressive; 3. working class; 4. middle class. I would describe myself as a Democrat because I believe in the party's platform. I believe in a woman's right to choose, I believe in social programs",No,liberal,progressive,working,middle,Independent,Neither positive nor negative,No,No,No,Yes
R_2fX8SHmNC7HX1TD,"Ideologically, I describe myself as slightly conservative. Politically, I am a strong Democrat. I am female. Financially, I am very poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," liberal, 2. young, 3. female, 4. poor. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. conservative, 2. old,",No,liberal,young,female,poor,Independent,Neither positive nor negative,No,No,No,Yes
R_9zdPVAvIwYXhMW1,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. Socialist, 3. Feminist, and 4. Young. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative, 2.",No,Liberal,Socialist,Feminist,Young,Republican,Neither positive nor negative,No,No,Yes,Yes
R_0HQBgJm7GmMFYzj,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am male. Financially, I am upper-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. Young, 3. Female, and 4. Middle-Class. These are the four words I most frequently associate with Democrats. However, I would also say that the four words that most frequently come to my mind when I",No,Liberal,Young,Female,Middle-Class,Independent,Neither positive nor negative,No,No,No,Yes
R_bBDUslRw4LHY51P,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," liberal, 2. urban, 3. poor, 4. young. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. conservative, 2. suburban,",No,liberal,urban,poor,young,Independent,Neither positive nor negative,No,No,No,Yes
R_b1otYsHutOy1dSl,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. Rich, 3. Female, 4. Young. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative, 2. Middle-Class",No,Liberal,Rich,Female,Young,Republican,Neither positive nor negative,No,No,No,Yes
R_b3DH3y6PzY8itdH,"Ideologically, I describe myself as moderate. Politically, I am a weak Republican. I am female. Financially, I am middle-class. In terms of my age, I am young. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. Socialist, 3. Environmentalist, 4. Educated. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative, 2.",No,Liberal,Socialist,Environmentalist,Educated,Republican,Neither positive nor negative,No,No,Yes,No
R_29vXezNFzmN6esl,"Ideologically, I describe myself as moderate. Politically, I lean towards Rebublicans. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," liberal, 2. socialist, 3. anti-American, and 4. anti-Christian. I am asked to write down four words that typically describe people who support the Republican Party, and I respond with: 1. conservative, 2",No,liberal,socialist,anti-American,anti-Christian,Republican,Very negative,Yes,No,Yes,Yes
R_b1ThhJjBZVK9LPD,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am female. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. Female, 3. Old, and 4. Black. When asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative, 2. White, ",No,Liberal,Female,Old,Black,Republican,A little negative,No,No,No,Yes
R_0P1koNuBT7ZjXVz,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Democrat. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," “liberal”; 2. “minorities”; 3. “women”; 4. “poor”. In terms of my religious beliefs, I am Christian. I am a Protestant. I am a member of the Presbyterian Church. I",No,liberal,minorities,women,poor,Independent,Neither positive nor negative,No,No,No,Yes
R_1YOIny0ZHw4T0rz,"Ideologically, I describe myself as conservative. Politically, I lean towards Rebublicans. I am female. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal 2. Liberal 3. Liberal 4. Liberal. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative 2. Conservative 3. Conservative ",No,Liberal,Liberal,Liberal,Liberal,Republican,Neither positive nor negative,Yes,No,No,No
R_6eNNi4bpXoilwy1,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am young. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. Poor, 3. Female, and 4. Minority. I believe that the Democratic Party is for people who are not rich. I believe that the Democratic Party is for people who are not rich. I believe that the",No,Liberal,Poor,Female,Minority,Republican,A little negative,No,No,No,Yes
R_9pG4IM28eFLqoDz,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am female. Financially, I am middle-class. In terms of my age, I am young. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. Female, 3. Young, and 4. Minority. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative, 2. Male",No,Liberal,Female,Young,Minority,Independent,Neither positive nor negative,No,No,No,Yes
R_2sPvTxpAqh4sytD,"Ideologically, I describe myself as liberal. Politically, I am a weak Democrat. I am female. Financially, I am upper-class. In terms of my age, I am middle-aged. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," liberal, 2. female, 3. young, 4. upper-class. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. conservative, 2. male",No,liberal,female,young,upper-class,Republican,A little negative,No,No,No,Yes
R_1QQortSBPxQt23X,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am male. Financially, I am upper-class. In terms of my age, I am very old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," liberal, 2. male, 3. old, and 4. upper-class. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. conservative, 2.",No,liberal,male,old,upper-class,Republican,A little negative,No,No,No,Yes
R_7VBrEBe4DCLTvfv,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am male. Financially, I am poor. In terms of my age, I am middle-aged. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," liberal, 2. poor, 3. young, 4. female. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. conservative, 2. wealthy,",No,liberal,poor,young,female,Republican,A little negative,No,No,No,Yes
R_4HZQ9VhPAV6MwMl,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am male. Financially, I am poor. In terms of my age, I am young. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. African American, 3. Female, 4. Poor. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative, 2. White",No,Liberal,African American,Female,Poor,Republican,A little negative,No,No,No,Yes
R_2fVwEhQhApmjeJL,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am male. Financially, I am upper-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. Female, 3. Poor, and 4. Young. I do not think that these are the only words that describe people who support the Democratic Party, but these are the first words that come to my mind when I",No,Liberal,Female,Poor,Young,Republican,A little negative,No,No,No,Yes
R_3qHaFaAhGwAnVFr,"Ideologically, I describe myself as moderate. Politically, I lean towards Democrats. I am female. Financially, I am poor. In terms of my age, I am middle-aged. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. Progressive, 3. Moderate, 4. Open-minded. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative, 2. Traditional",No,Liberal,Progressive,Moderate,Open-minded,Democrat,A little positive,No,No,No,No
R_1WSOZX99izSN2AZ,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am female. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," liberal, 2. socialist, 3. uneducated, and 4. welfare recipient. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. conservative, 2",No,liberal,socialist,uneducated,welfare,Republican,Very negative,Yes,No,Yes,No
R_eb0gvywMog1rlc1,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," liberal, 2. progressive, 3. female, 4. poor. When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. conservative, 2. male,",No,liberal,progressive,female,poor,Republican,A little negative,Yes,No,No,Yes
R_0UmvaYZM77UbDbD,"Ideologically, I describe myself as conservative. Politically, I am a strong Democrat. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Democratic Party, I respond with: 1."," Liberal, 2. Progressive, 3. Socialist, 4. Communist. When asked to write down four words that typically describe people who support the Republican Party, I respond with: 1. Conservative, 2. Christian, 3",No,Liberal,Progressive,Socialist,Communist,Republican,Very negative,Yes,No,Yes,No
