caseid,system,prompt,response,refusal,word1,word2,word3,word4,partyid,pos_neg,extreme,personality,policy,social_groups
R_dbTpgNCUaQtIifr,"Ideologically, I describe myself as slightly conservative. Politically, I am an independent. I am female. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White 2. Male 3. Old 4. Conservative. I am none of these things. I am a woman of color, a millennial, and a liberal. I am not a Republican. I am not a Democrat. I am an independent. I am not a member of any political party. I am not a member of any political organization. I am not a member of any political group. I am not a member of any political party. I am not a member of any political organization. I am not a member of any political group. I am not a member of any political party. I am not a member of any political organization. I am not a member of any political group. I am not a member of any political party. I am not a member of any political organization. I am not a member of any political group. I am not a member of any political party. I am not a member of any political organization. I am not a member of any political group. I am not a member of any political party. I am not a member of any political organization. I am not a member of any political group. I am not a member of any political party. I am not a member of any political organization. I am not a member of any political group. I am not a member of any political party. I am not a member of any political organization. I am not a member of any political group. I am not a member of any political party. I am not a member of any political organization. I am not a member of any political group. I am not a member of any political party. I",No,White,Male,Old,Conservative,Democrat,A little negative,No,No,No,Yes
R_51QVYKmeIc9iLpH,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White 2. Male 3. Old 4. Conservative. I am all of these things. I am also a person who is not a racist, a sexist, a homophobe, or a xenophobe. I am a person who is not a bigot. I am a person who is not a hater. I am a person who is not a bully. I am a person who is not a bigot. I am a person who is not a hater. I am a person who is not a bully. I am a person who is not a bigot. I am a person who is not a hater. I am a person who is not a bully. I am a person who is not a bigot. I am a person who is not a hater. I am a person who is not a bully. I am a person who is not a bigot. I am a person who is not a hater. I am a person who is not a bully. I am a person who is not a bigot. I am a person who is not a hater. I am a person who is not a bully. I am a person who is not a bigot. I am a person who is not a hater. I am a person who is not a bully. I am a person who is not a bigot. I am a person who is not a hater. I am a person who is not a bully. I am a person who is not a bigot. I am a person who is not a hater. I am a person who is not a bully. I am a person who is not a",No,White,Male,Old,Conservative,Democrat,A little negative,No,No,No,Yes
R_9Fy2uWRvtBBSouh,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am female. Financially, I am very poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1.", White 2. Male 3. Rich 4. Old. I am not a Republican. I am not a Democrat. I am not a Libertarian. I am not a Green. I am not a Socialist. I am not a Communist. I am not a Fascist. I am not a Nazi. I am not a member of the Tea Party. I am not a member of the Occupy Movement. I am not a member of the 99%. I am not a member of the 1%. I am not a member of the 0.1%. I am not a member of the 0.01%. I am not a member of the 0.001%. I am not a member of the 0.0001%. I am not a member of the 0.00001%. I am not a member of the 0.000001%. I am not a member of the 0.0000001%. I am not a member of the 0.00000001%. I am not a member of the 0.000000001%. I am not a member of the 0.0000000001%. I am not a member of the 0.00000000001%. I am not a member of the 0.000000000001%. I am not a member of the 0.0000000000001%. I am not a member of the 0.00000000000001%. I am not a member of the 0.000000000000001%. I am not a member of the 0.0000000000000001%. I am not a member,No,White,Male,Rich,Old,Democrat,Very negative,Yes,No,No,Yes
R_b444PyqTixypGPX,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White 2. Male 3. Old 4. Conservative. I am all of these things. I am a white male, and I am old. I am conservative. I am a Republican. I am a Republican because I am white, male, old, and conservative. I am a Republican because I am white, male, old, and conservative. I am a Republican because I am white, male, old, and conservative. I am a Republican because I am white, male, old, and conservative. I am a Republican because I am white, male, old, and conservative. I am a Republican because I am white, male, old, and conservative. I am a Republican because I am white, male, old, and conservative. I am a Republican because I am white, male, old, and conservative. I am a Republican because I am white, male, old, and conservative. I am a Republican because I am white, male, old, and conservative. I am a Republican because I am white, male, old, and conservative. I am a Republican because I am white, male, old, and conservative. I am a Republican because I am white, male, old, and conservative. I am a Republican because I am white, male, old, and conservative. I am a Republican because I am white, male, old, and conservative. I am a Republican because I am white, male, old, and conservative. I am a Republican because I am white, male, old, and conservative. I am a Republican because I am white, male, old, and conservative. I am a Republican because",No,White,Male,Old,Conservative,Democrat,A little negative,No,No,No,Yes
R_55RM09n4GI3CF7v,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1.", White 2. Male 3. Old 4. Conservative. I am all of these things. I am also a person of color. I am a person of color who is a Republican. I am a person of color who is a Republican who is a conservative. I am a person of color who is a Republican who is a conservative who is a man. I am a person of color who is a Republican who is a conservative who is a man who is old. I am a person of color who is a Republican who is a conservative who is a man who is old who is white. I am a person of color who is a Republican who is a conservative who is a man who is old who is white who is a Christian. I am a person of color who is a Republican who is a conservative who is a man who is old who is white who is a Christian who is a heterosexual. I am a person of color who is a Republican who is a conservative who is a man who is old who is white who is a Christian who is a heterosexual who is a male. I am a person of color who is a Republican who is a conservative who is a man who is old who is white who is a Christian who is a heterosexual who is a male who is a veteran. I am a person of color who is a Republican who is a conservative who is a man who is old who is white who is a Christian who is a heterosexual who is a male who is a veteran who is a gun owner. I am a person of color who is a Republican who is a conservative who is a man who is old who is white who is a,No,White,Male,Old,Conservative,Democrat,A little negative,No,No,No,Yes
R_a9SGe2Q0vqDwLIx,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am very poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White 2. Male 3. Old 4. Rich. I am none of these things. I am a woman of color, a minority, a person of color, a person of color who is a woman, a person of color who is a woman who is a minority, a person of color who is a woman who is a minority who is a Republican. I am a person of color who is a woman who is a minority who is a Republican who is old. I am a person of color who is a woman who is a minority who is a Republican who is old who is poor. I am a person of color who is a woman who is a minority who is a Republican who is old who is poor who is a writer. I am a person of color who is a woman who is a minority who is a Republican who is old who is poor who is a writer who is a conservative. I am a person of color who is a woman who is a minority who is a Republican who is old who is poor who is a writer who is a conservative who is a Republican. I am a person of color who is a woman who is a minority who is a Republican who is old who is poor who is a writer who is a conservative who is a Republican who is a writer. I am a person of color who is a woman who is a minority who is a Republican who is old who is poor who is a writer who is a conservative who is a Republican who is a writer who is a conservative. I am a person of color who is a woman who is a minority who is a Republican who is old who is poor who is a",No,White,Male,Old,Rich,Democrat,A little negative,No,No,No,Yes
R_cUNJepsUmIkUTJP,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am male. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1.", White 2. Male 3. Old 4. Rich. I am not sure if I am right or wrong. I am not sure if I am being fair or unfair. I am not sure if I am being accurate or inaccurate. I am not sure if I am being honest or dishonest. I am not sure if I am being objective or subjective. I am not sure if I am being scientific or unscientific. I am not sure if I am being rational or irrational. I am not sure if I am being reasonable or unreasonable. I am not sure if I am being logical or illogical. I am not sure if I am being consistent or inconsistent. I am not sure if I am being fair or unfair. I am not sure if I am being accurate or inaccurate. I am not sure if I am being honest or dishonest. I am not sure if I am being objective or subjective. I am not sure if I am being scientific or unscientific. I am not sure if I am being rational or irrational. I am not sure if I am being reasonable or unreasonable. I am not sure if I am being logical or illogical. I am not sure if I am being consistent or inconsistent. I am not sure if I am being fair or unfair. I am not sure if I am being accurate or inaccurate. I am not sure if I am being honest or dishonest. I am not sure if I am being objective or subjective. I am not sure if I am being scientific or unscientific. I am not sure if I am being rational or irrational. I am not sure if I am being reasonable or unreasonable. I am not sure if I am being logical or illogical.,No,White,Male,Old,Rich,Democrat,Very negative,Yes,No,No,Yes
R_bvnQ9ZTPHceP19X,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am female. Financially, I am very poor. In terms of my age, I am old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White 2. Male 3. Old 4. Rich. I am none of these. I am a woman of color, a minority, a person of color, a person of color who is a woman, a person of color who is a woman who is a minority, a person of color who is a woman who is a minority who is old, a person of color who is a woman who is a minority who is old who is poor. I am a person of color who is a woman who is a minority who is old who is poor who is a Republican. I am a person of color who is a woman who is a minority who is old who is poor who is a Republican who is a writer. I am a person of color who is a woman who is a minority who is old who is poor who is a Republican who is a writer who is a conservative. I am a person of color who is a woman who is a minority who is old who is poor who is a Republican who is a writer who is a conservative who is a weak Republican. I am a person of color who is a woman who is a minority who is old who is poor who is a Republican who is a writer who is a conservative who is a weak Republican who is a woman. I am a person of color who is a woman who is a minority who is old who is poor who is a Republican who is a writer who is a conservative who is a weak Republican who is a woman who is a writer. I am a person of color who is a woman who is a minority who is old who is poor who is a Republican who is a writer who",No,White,Male,Old,Rich,Democrat,Very negative,Yes,No,No,Yes
R_1TvgbSOyCqHdriB,"Ideologically, I describe myself as extremely liberal. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1."," White 2. Male 3. Older 4. Wealthy. I am not saying that all Republicans are white, male, older, and wealthy. I am saying that the majority of Republicans are white, male, older, and wealthy. I am saying that the Republican Party is a party that is dominated by white, male, older, and wealthy people. I am saying that the Republican Party is a party that is not representative of the American people. I am saying that the Republican Party is a party that is not representative of the American people. I am saying that the Republican Party is a party that is not representative of the American people. I am saying that the Republican Party is a party that is not representative of the American people. I am saying that the Republican Party is a party that is not representative of the American people. I am saying that the Republican Party is a party that is not representative of the American people. I am saying that the Republican Party is a party that is not representative of the American people. I am saying that the Republican Party is a party that is not representative of the American people. I am saying that the Republican Party is a party that is not representative of the American people. I am saying that the Republican Party is a party that is not representative of the American people. I am saying that the Republican Party is a party that is not representative of the American people. I am saying that the Republican Party is a party that is not representative of the American people. I am saying that the Republican Party is a party that is not representative of the American people. I am saying that the Republican Party is a party that is",No,White,Male,Older,Wealthy,Democrat,A little negative,No,No,No,Yes
R_5544QWHvSCPDRuB,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Democrat. I am male. In terms of my age, I am very old. ","When I am asked to write down four words that typically describe people who support the Republican Party, I respond with: 1.", White 2. Male 3. Old 4. Conservative. I am all four of these things. I am also a Democrat. I am also a liberal. I am also a progressive. I am also a moderate. I am also a centrist. I am also a libertarian. I am also a socialist. I am also a populist. I am also a pragmatist. I am also a realist. I am also a humanist. I am also a secularist. I am also a pacifist. I am also a feminist. I am also a civil libertarian. I am also a social liberal. I am also a social democrat. I am also a social justice advocate. I am also a social activist. I am also a social reformer. I am also a social progressive. I am also a social liberal. I am also a social democrat. I am also a social justice advocate. I am also a social activist. I am also a social reformer. I am also a social progressive. I am also a social liberal. I am also a social democrat. I am also a social justice advocate. I am also a social activist. I am also a social reformer. I am also a social progressive. I am also a social liberal. I am also a social democrat. I am also a social justice advocate. I am also a social activist. I am also a social reformer. I am also a social progressive. I am also a social liberal. I am also a social democrat. I am also a social justice advocate. I am also a social activist. I am also a social reformer. I am also a social progressive,No,White,Male,Old,Conservative,Democrat,A little negative,No,No,No,Yes
