Unnamed: 0,word1,word2,word3,word4,ID,partyid,pos_neg,extreme,personality,policy,social_groups
0,conservative,NONE,NONE,NONE,R_dbTpgNCUaQtIifr,Independent,Neither positive nor negative,No,No,No,No
1,conservative,NONE,NONE,NONE,R_51QVYKmeIc9iLpH,Independent,Neither positive nor negative,No,No,No,No
2,narrow minded,constitutionalist,religious,controlling,R_9Fy2uWRvtBBSouh,Democrat,Very negative,Yes,Yes,Yes,No
3,conservatives,haters,liars,thieves,R_b444PyqTixypGPX,Democrat,Very negative,Yes,Yes,No,No
4,educated,male,rich,career,R_55RM09n4GI3CF7v,Independent,Neither positive nor negative,No,No,No,Yes
5,conservative,right leaning,frugal,staunch,R_a9SGe2Q0vqDwLIx,Independent,Neither positive nor negative,No,No,No,No
6,?,?,?,?,R_cUNJepsUmIkUTJP,Independent,Neither positive nor negative,No,No,No,No
7,conservative,christian values,wealthy,constitution oriented,R_bvnQ9ZTPHceP19X,Independent,Neither,No,No,Yes,No
8,stupid,selfish,rich,ignorant,R_1TvgbSOyCqHdriB,Democrat,Very negative,Yes,Yes,No,Yes
9,conservative,wealthier,NONE,NONE,R_5544QWHvSCPDRuB,Independent,Neither positive nor negative,No,No,No,No
10,conservative,self reliant,hardworking,patriotic,R_bdrBWyOCANwjDiR,Independent,A little positive,No,Yes,No,No
11,snotty,conservative,rich,selfish,R_dcDiLB7IoNxU1hz,Democrat,Very negative,Yes,Yes,No,No
12,don't know,don't know,don't know,don't know,R_ePf3FIJF8oNI6tD,Independent,Neither positive nor negative,No,No,No,No
13,conservatives,rednecks,racists,hypocrites,R_3UUExeZBCduQbI1,Democrat,Very negative,Yes,No,No,Yes
14,loud,obnoxious,stubborn,committed,R_a8LEFbrH0Wp3qT3,Democrat,Very negative,Yes,Yes,No,No
15,independent,individual,freedom,prosperity,R_1B4CIIcyN7bIqXj,Republican,Very positive,No,No,Yes,No
16,whites,rich,racist,fancy,R_9YV7piSIBe83OIt,Democrat,Very negative,Yes,Yes,No,Yes
17,racist,ignorant,NONE,NONE,R_2fX8SHmNC7HX1TD,Democrat,Very negative,Yes,Yes,No,No
18,conservative,educated,smart,reliable,R_9zdPVAvIwYXhMW1,Republican,A little positive,No,Yes,No,No
19,conservative,religious,small government,balanced budget,R_0HQBgJm7GmMFYzj,Independent,Neither positive nor negative,No,No,Yes,No
20,conservative,honest,concerned,smart,R_bBDUslRw4LHY51P,Republican,A little positive,No,Yes,No,No
21,rich,NONE,NONE,NONE,R_b1otYsHutOy1dSl,Democrat,A little negative,No,No,No,No
22,well off,religious,NONE,NONE,R_b3DH3y6PzY8itdH,Independent,Neither positive nor negative,No,No,No,No
23,patriots,law abiding,constitution,prolife,R_29vXezNFzmN6esl,Republican,A little positive,No,Yes,Yes,No
24,conservative,pro-life,nra nut,fiscal conservative,R_b1ThhJjBZVK9LPD,Democrat,A little negative,Yes,No,Yes,Yes
25,rich,white,ignorant,religious,R_0P1koNuBT7ZjXVz,Democrat,Very negative,Yes,Yes,No,Yes
26,conservative,educated,professionals,caring,R_1YOIny0ZHw4T0rz,Independent,A little positive,No,Yes,No,No
27,rich,high class,closed minded,na,R_6eNNi4bpXoilwy1,Democrat,Very negative,Yes,Yes,No,No
28,unsympathetic,wealthy,conservative,responsible,R_9pG4IM28eFLqoDz,Independent,A little negative,No,Yes,No,No
29,rich,religious,extremists,gun lovers,R_2sPvTxpAqh4sytD,Democrat,Very negative,Yes,No,Yes,Yes
30,rich,mean,uncaring,frugal,R_1QQortSBPxQt23X,Democrat,Very negative,Yes,Yes,No,No
31,you,you,you,you,R_7VBrEBe4DCLTvfv,Independent,Neither positive nor negative,No,No,No,No
32,racist,ugly,dumb,rich,R_4HZQ9VhPAV6MwMl,Democrat,Very negative,Yes,Yes,No,Yes
33,conservative,white,detached,selfish,R_2fVwEhQhApmjeJL,Democrat,Very negative,Yes,Yes,No,Yes
34,smart,strong,NONE,NONE,R_3qHaFaAhGwAnVFr,Republican,A little positive,No,Yes,No,No
35,religious,fiscally responsible,white,pro-guns,R_1WSOZX99izSN2AZ,Democrat,Neither positive nor negative,No,No,Yes,Yes
36,moral,frugal,donations,better,R_eb0gvywMog1rlc1,Independent,A little positive,No,Yes,No,No
37,apprehensive,scared,uncomfortable,unfavorable,R_0UmvaYZM77UbDbD,Democrat,Very negative,No,No,No,No
38,conservative,moderate,haphazard,crazy,R_bfoPPmyFnA0WtgN,Democrat,Very negative,Yes,Yes,No,No
39,bad,badder,dumb,air head,R_6hWJrdGMheoq1pP,Democrat,Very negative,Yes,Yes,No,No
40,american,conservative,guns,rights,R_4I46G85lXoyKrNX,Independent,Neither positive nor negative,No,No,Yes,No
41,NONE,NONE,NONE,NONE,R_cvVC4haZ471LqIJ,Independent,Neither,No,No,No,No
42,shallow,naive,opinionated,different,R_6gR9bxR8sqrGpVz,Democrat,Very negative,Yes,Yes,No,No
43,patriotic,sane,level headed,smart,R_8CjB1T2uSJYkRaR,Republican,Very positive,No,Yes,No,No
44,fascist,uneducated,white,suburb,R_4YOncjsby6D7aQZ,Democrat,Very negative,Yes,No,No,Yes
45,strong,intelligent,independent,sure,R_9QqbikWcxIohAK9,Republican,A little positive,No,Yes,No,No
46,rich,conservative,pompous,jerks,R_9Fw23igU92NqS5D,Democrat,Very negative,Yes,Yes,No,No
47,rightwing,conservative,"""christian""",old fashioned,R_0kAps59SlbdSY29,Democrat,A little negative,No,No,No,Yes
48,rich,powerful,selfies,money,R_7OtEQ5SUBy4ut2R,Democrat,A little negative,No,No,No,No
49,conservative,smart,logical,successful,R_3r5XnIjyYck1aiV,Republican,A little positive,No,Yes,No,No
50,religious,middle class,hardworking,conservative,R_8kLw4Gk1Wgherqt,Republican,A little positive,No,No,No,No
51,wealthy,conservative,caucasian,NONE,R_39sslX1ghfrkZNP,Democrat,A little negative,No,No,No,Yes
52,good,knowledgeable,NONE,NONE,R_6zGqm8tFXRaF0ep,Independent,A little positive,No,No,No,No
53,conservative,NONE,NONE,NONE,R_5vWIaKahzEljSQd,Independent,Neither positive nor negative,No,No,No,No
54,husband,guns,oil,money,R_cMAPTNH8tYDQoiF,Democrat,A little negative,No,No,Yes,No
55,conservative,closed minded,stodgy,old,R_4V04U1vYwVvoKb3,Democrat,Very negative,Yes,Yes,No,No
56,honest,strong,patriots,loyal,R_9Hoktb1LjTwPHFj,Republican,Very positive,No,Yes,No,No
57,rich,conservative,elite,stubborn,R_a3JT4v60JoY5GAZ,Democrat,Very negative,Yes,Yes,No,Yes
58,self absorbed,conservative,xenophobic,old,R_emwgwPDPXmjk4Xb,Democrat,Very negative,Yes,Yes,Yes,No
59,mid class,conservative,mid age,politics,R_7VQ0OtNL3pUjitv,Independent,Neither,No,No,Yes,Yes
60,right,pro-life,conservative,rich,R_dmccxyYmEMRsLlP,Democrat,A little negative,No,No,Yes,No
61,wealthy,business,white,upper class,R_0wUqUWNuzVBNMGx,Democrat,A little negative,No,No,No,Yes
62,conservatives,gun owners,business executives,NONE,R_0AGUaDeYq033Hdb,Independent,Neither positive nor negative,No,No,No,Yes
63,educated,conservative,pro-business,successful,R_4VgI5Gi3RpcEfcN,Independent,A little positive,No,No,Yes,No
64,conservative,stable,level headed,western(ish),R_06wiz5IHFAk9qEB,Independent,A little positive,No,Yes,No,No
65,stubborn,closed,money,power,R_5oIHOkiaZIB9mOV,Democrat,Very negative,Yes,Yes,No,No
