caseid,system,prompt,response,refusal,word1,word2,word3,word4,partyid,pos_neg,extreme,personality,policy,social_groups
R_dbTpgNCUaQtIifr,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are an independent. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Young urban liberal idealist,No,Young,urban,liberal,idealist,Independent,Neither positive nor negative,No,No,No,Yes
R_51QVYKmeIc9iLpH,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal elitist tree huggers,No,Liberal,elitist,tree,huggers,Republican,Very negative,Yes,Yes,No,No
R_9Fy2uWRvtBBSouh,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Open-minded urban young professionals,No,Open-minded,urban,young,professionals,Independent,A little positive,No,No,No,Yes
R_b444PyqTixypGPX,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal open-minded urban educated,No,Liberal,Open-minded,Urban,Educated,Independent,A little positive,No,No,No,Yes
R_55RM09n4GI3CF7v,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberals who hate America,No,Liberals,who,hate,America,Republican,Very negative,Yes,No,No,Yes
R_a9SGe2Q0vqDwLIx,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal tree hugging idiots,No,Liberal,tree,hugging,idiots,Republican,Very negative,Yes,Yes,No,No
R_cUNJepsUmIkUTJP,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are male. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Young urban educated professionals,No,Young,Urban,Educated,Professionals,Independent,A little positive,No,No,No,Yes
R_bvnQ9ZTPHceP19X,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a weak Republican. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, angry, young, elite",No,Liberal,angry,young,elite,Republican,Very negative,Yes,No,No,Yes
R_1TvgbSOyCqHdriB,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely liberal. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Urban Educated White Progressive,No,Urban,Educated,White,Progressive,Independent,Neither,No,No,No,Yes
R_5544QWHvSCPDRuB,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Democrat. You are male. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, Educated, Young, Urban",No,Liberal,Educated,Young,Urban,Independent,A little positive,No,No,No,Yes
R_bdrBWyOCANwjDiR,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely conservative. Politically, you are a strong Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, lazy, liar, losers.",No,Liberal,lazy,liar,losers,Republican,Very negative,Yes,Yes,No,No
R_dcDiLB7IoNxU1hz,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are a strong Democrat. You are female. Financially, you are upper-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal educated urban females,No,Liberal,educated,urban,females,Republican,Neither positive nor negative,No,No,No,Yes
R_ePf3FIJF8oNI6tD,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely conservative. Politically, you lean towards Rebublicans. You are female. Financially, you are middle-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, lazy, entitled, naive",No,Liberal,lazy,entitled,naive,Republican,Very negative,Yes,Yes,No,No
