caseid,system,prompt,response,refusal,word1,word2,word3,word4,partyid,pos_neg,extreme,personality,policy,social_groups
R_dbTpgNCUaQtIifr,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are an independent. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.","White, wealthy, male, Christian",No,White,wealthy,male,Christian,Democrat,A little negative,No,No,No,Yes
R_51QVYKmeIc9iLpH,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.","Patriotic, Christian, Strong, Traditional",No,Patriotic,Christian,Strong,Traditional,Independent,A little positive,No,No,No,No
R_9Fy2uWRvtBBSouh,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Rich white male conservatives,No,Rich,white,male,conservatives,Democrat,A little negative,No,No,No,Yes
R_b444PyqTixypGPX,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.","Rigid, wealthy, white, Christian",No,Rigid,wealthy,white,Christian,Democrat,Very negative,Yes,No,No,Yes
R_55RM09n4GI3CF7v,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.","Patriotic, hardworking, Christian, traditional",No,Patriotic,hardworking,Christian,traditional,Republican,A little positive,No,No,No,Yes
R_a9SGe2Q0vqDwLIx,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Wealthy White Well-Educated,No,Wealthy,White,Well-Educated,NONE,Democrat,A little negative,No,No,No,Yes
R_cUNJepsUmIkUTJP,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are male. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.","Close-minded, rich, old, white",No,Close-minded,rich,old,white,Democrat,Very negative,Yes,No,No,Yes
R_bvnQ9ZTPHceP19X,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a weak Republican. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Rich White Older Males,No,Rich,White,Older,Males,Democrat,A little negative,No,No,No,Yes
R_1TvgbSOyCqHdriB,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely liberal. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Old rich white men.,No,old,rich,white,men,Democrat,Very negative,No,No,No,Yes
R_5544QWHvSCPDRuB,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Democrat. You are male. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1."," Narrow-minded, right-wing, old, white",No,Narrow-minded,right-wing,old,white,Democrat,Very negative,Yes,Yes,No,Yes
R_bdrBWyOCANwjDiR,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely conservative. Politically, you are a strong Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.","Patriotic, God-Fearing, Hardworking, Americans",No,Patriotic,God-Fearing,Hardworking,Americans,Republican,Very positive,No,Yes,No,Yes
R_dcDiLB7IoNxU1hz,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are a strong Democrat. You are female. Financially, you are upper-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.","Closed-minded, rich, white, men.",No,Closed-minded,rich,white,men,Democrat,Very negative,Yes,Yes,No,Yes
R_ePf3FIJF8oNI6tD,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely conservative. Politically, you lean towards Rebublicans. You are female. Financially, you are middle-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.","Patriotic, Christian, Traditional, Hardworking",No,Patriotic,Christian,Traditional,Hardworking,Republican,A little positive,No,No,No,No
R_3UUExeZBCduQbI1,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Democrat. Racially, you are Hispanic. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",White Christian Conservative Male,No,White,Christian,Conservative,Male,Democrat,A little negative,No,No,No,Yes
R_a8LEFbrH0Wp3qT3,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are an independent. You are female. Financially, you are poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",White conservative rich male,No,White,conservative,rich,male,Democrat,Very negative,Yes,No,No,Yes
R_1B4CIIcyN7bIqXj,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Republican. You are female. Financially, you are upper-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Old Rich White Males,No,Old,Rich,White,Males,Democrat,Very negative,Yes,No,No,Yes
R_9YV7piSIBe83OIt,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a strong Democrat. You are female. Financially, you are poor. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.",Rich white old men,No,Rich,white,old,men,Democrat,Very negative,Yes,No,No,Yes
R_2fX8SHmNC7HX1TD,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a strong Democrat. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Republican Party, you respond with: 1.","Rich, white, male, hypocrites",No,Rich,White,Male,Hypocrites,Democrat,Very negative,Yes,Yes,No,Yes
