caseid,system,prompt,response,refusal,word1,word2,word3,word4,partyid,pos_neg,extreme,personality,policy,social_groups
R_dbTpgNCUaQtIifr,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are an independent. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, Progressive, Tolerant, Idealistic",No,Liberal,Progressive,Tolerant,Idealistic,Independent,A little positive,No,No,No,No
R_51QVYKmeIc9iLpH,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Social Justice Activist,No,Liberal,Social,Justice,Activist,Independent,Neither positive nor negative,No,No,No,No
R_9Fy2uWRvtBBSouh,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, socially conscious",No,Progressive,socially,conscious,NONE,Independent,A little positive,No,No,No,No
R_b444PyqTixypGPX,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Social Justicemindful,No,Liberal,Social,Justicemindful,NONE,Independent,A little positive,No,No,Yes,No
R_55RM09n4GI3CF7v,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Social,No,Liberal,Progressive,Social,NONE,Independent,Neither positive nor negative,No,No,No,No
R_a9SGe2Q0vqDwLIx,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, Progressive, Tolerant, Open-Minded",No,Liberal,Progressive,Tolerant,Open-Minded,Democrat,A little positive,No,Yes,No,No
R_cUNJepsUmIkUTJP,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are male. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, socially conscious, pragmatic, idealistic",No,Progressive,socially,conscious,pragmatic,Democrat,A little positive,No,No,No,No
R_bvnQ9ZTPHceP19X,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a weak Republican. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Leftie Activist,No,Liberal,Progressive,Leftie,Activist,Republican,Neither positive nor negative,No,No,No,No
R_1TvgbSOyCqHdriB,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely liberal. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, Leftist, Idealistic, Activist",No,Progressive,Leftist,Idealistic,Activist,Independent,Neither positive nor negative,No,No,No,No
R_5544QWHvSCPDRuB,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Democrat. You are male. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Left Wing Progressives,No,Liberal,Left,Wing,Progressives,Independent,Neither positive nor negative,No,No,No,No
R_bdrBWyOCANwjDiR,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely conservative. Politically, you are a strong Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberals Socialists Progressives Left,No,Liberals,Socialists,Progressives,Left,Republican,Neither positive nor negative,No,No,No,No
R_dcDiLB7IoNxU1hz,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are a strong Democrat. You are female. Financially, you are upper-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, Liberal, Socially",No,Progressive,Liberal,Socially,NONE,Independent,Neither,No,No,No,No
R_ePf3FIJF8oNI6tD,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely conservative. Politically, you lean towards Rebublicans. You are female. Financially, you are middle-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Socialist Urban Activist,No,Liberal,Socialist,Urban,Activist,Republican,A little negative,Yes,No,Yes,Yes
R_3UUExeZBCduQbI1,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Democrat. Racially, you are Hispanic. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Socialist Activist,No,Liberal,Progressive,Socialist,Activist,Republican,Neither positive nor negative,No,No,Yes,No
R_a8LEFbrH0Wp3qT3,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are an independent. You are female. Financially, you are poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Free Thinking Progressive Activist,No,Liberal,Free,Thinking,Progressive,Independent,A little positive,No,No,No,No
R_1B4CIIcyN7bIqXj,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Republican. You are female. Financially, you are upper-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Socially Progressive,No,Liberal,Socially,Progressive,NONE,Independent,Neither positive nor negative,No,No,No,No
R_9YV7piSIBe83OIt,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a strong Democrat. You are female. Financially, you are poor. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Progressive Left Liberal,No,Progressive,Left,Liberal,NONE,Independent,Neither positive nor negative,No,No,Yes,No
R_2fX8SHmNC7HX1TD,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a strong Democrat. You are female. Financially, you are very poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal. Progress. Socially. Affable.,No,Liberal,Progress,Socially,Affable,Independent,A little positive,No,No,No,No
R_9zdPVAvIwYXhMW1,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are female. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberally minded individuals,No,Liberally,minded,individuals,NONE,Independent,Neither positive nor negative,No,No,No,No
R_0HQBgJm7GmMFYzj,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are male. Financially, you are upper-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Activist Socialist,No,Liberal,Progressive,Activist,Socialist,Republican,A little negative,Yes,No,Yes,No
